 599.2 1063.5 24.60       3.05 2
 600.7  532.1 23.97       1.06 4
 605.7  952.3 28.14      10.47 2
 607.1  767.5 23.01       0.51 3
 608.3  372.6 21.76       1.36 1
 609.2  690.4 24.48       0.001 2
 609.3 1057.0 28.22      10.05 2
 621.6  694.8 27.80       5.85 2
 621.5  813.8 27.71       1.90 2
 626.6  969.6 25.42       0.56 4
 627.5 1118.0 24.39       1.50 2
 631.3  424.3 27.47       2.52 4
 632.0 1063.6 25.74       1.68 2
 633.0  916.6 25.32       2.53 4
 634.4  519.8 23.90       0.26 1
 634.5  707.8 27.36       2.98 2
 637.2  286.8 26.52       2.78 2
 637.8  746.8 28.00       0.001 2
 639.7  976.8 27.65       0.001 3
 640.1  880.1 27.11       0.001 2
 643.4  621.8 26.10       1.19 4
 644.0  943.5 24.85       2.05 3
 645.0  340.1 25.11       1.19 2
 647.9  899.3 23.70       2.01 1
 648.6  382.3 23.73       2.27 4
 648.2  814.8 24.47       1.12 2
 650.7  974.1 27.72       1.06 3
 651.3  392.9 24.66       2.58 2
 652.6  979.5 27.32       1.21 2
 653.0  709.4 27.45       1.62 2
 657.6  734.8 26.16       2.32 2
 666.1  501.2 25.60       0.41 2
 669.2  740.9 25.68       1.27 4
 670.4  656.0 26.11       0.90 2
 671.7  796.6 28.22       0.41 2
 672.9  763.8 25.05       2.33 2
 677.9  860.0 28.71       0.001 3
 679.0  752.5 27.36       0.64 3
 680.6  833.0 27.12       0.16 2
 682.7  604.3 27.65       0.77 4
 684.2  614.9 26.29       1.42 2
 684.1  907.3 26.51       2.64 4
 684.7 1002.3 27.18       0.35 3
 688.2  882.6 28.05       4.43 3
 690.3  876.8 29.25       3.88 2
 696.9  430.9 25.55       1.37 4
 698.3  294.1 24.59       1.37 4
 698.4  568.7 27.14       3.13 4
 698.3  596.1 27.35       1.75 4
 700.0  716.7 27.54       1.90 2
 700.1  612.1 25.18       0.26 4
 704.8  942.2 26.66       1.68 2
 706.1  371.3 27.05       3.99 2
 706.3 1082.6 23.78       0.27 1
 708.6  695.5 22.27       0.66 4
 709.2  659.8 27.68       6.20 2
 710.2  463.8 26.95       1.38 2
 711.9  630.2 27.56       1.42 4
 718.8  539.4 27.16       0.001 2
 720.5 1106.3 25.15       2.04 4
 728.0  632.2 28.33       2.73 2
 727.7  919.2 25.99       3.87 2
 730.3  628.3 29.05       0.63 1
 733.1  710.0 27.52       0.12 2
 734.4  517.7 26.96       0.02 2
 735.3  451.4 27.89       1.47 4
 736.4  630.9 27.37       3.98 4
 737.6  648.4 27.78       0.06 2
 738.8  373.9 27.08       0.001 2
 739.2  503.1 27.12       4.39 2
 739.2  714.0 28.95      10.51 2
 740.2  757.3 26.44       3.29 2
 743.0  372.5 27.17       2.20 2
 743.3  490.6 25.95       2.88 4
 745.1  624.7 26.92       0.001 2
 745.7 1018.1 27.26       1.90 2
 749.5  942.8 25.11       1.77 3
 751.6  337.8 25.74       1.40 2
 756.7  667.3 27.50       0.001 2
 758.7  947.6 27.44       0.06 3
 759.8  830.6 18.31       0.03 1
 764.3  864.4 20.97       0.17 2
 770.8 1074.5 25.02       1.48 4
 774.7  660.5 28.06       3.65 2
 777.4  618.7 26.90       2.83 2
 779.1  955.3 26.26       0.62 4
 784.8  355.9 26.48       3.11 2
 784.6  511.5 25.48       2.56 2
 785.6  915.7 25.90       1.80 2
 786.2  619.4 26.01       1.65 2
 788.9  951.8 27.83       0.16 2
 789.7  503.7 26.92       1.97 2
 790.2  934.1 24.02       1.08 4
 792.7 1032.2 25.14       3.60 3
 794.4  648.2 27.32       1.89 2
 797.5  491.4 27.86       0.05 2
 801.3  926.3 25.30       2.68 4
 804.7  625.7 26.44       4.69 4
 811.6  314.5 25.38       1.40 4
 817.5  885.1 26.82       1.15 2
 820.1  718.4 27.27       1.62 2
 832.0  723.0 26.81       2.29 2
 836.6  787.4 27.19       4.09 2
 836.3 1023.2 22.26       1.37 3
 837.6 1087.9 26.41       1.09 3
